pincode,city,state,pickup,delivery,zone
132018,Panipat,Haryana,N,N,d
132021,Sonepat,Haryana,N,N,d
132022,Karnal,Haryana,Y,Y,d
132023,Karnal,Haryana,Y,Y,d
132024,Karnal,Haryana,Y,Y,d
132025,Assandh,Haryana,Y,Y,d
132026,Kaithal,Haryana,Y,Y,d
132035,ASANDH,HR,N,N,d
132036,Karnal,Haryana,Y,Y,d
132037,Karnal,Haryana,Y,Y,d
132038,Asandh,Haryana,N,N,d
132039,Assandh,Haryana,Y,Y,d
132040,KARNAL,Haryana,Y,Y,d
132041,Karnal,Haryana,Y,Y,d
132042,Rohtak,Haryana,N,N,d
132043,Panipat,Haryana,N,N,d
132044,Assandh,Haryana,N,Y,d
132045,Asandh,Haryana,N,N,d
132046,Assandh,Haryana,Y,Y,d
132047,Panipat,Haryana,N,N,d
132048,Panipat,Haryana,N,N,d
132049,Panipat,Haryana,N,N,d
132053,Ladwa,Haryana,N,N,d
132054,Karnal,Haryana,Y,Y,d
132100,Panipat,Haryana,N,N,d
132101,Samalkha,Haryana,Y,Y,d
132102,Samalkha,Haryana,Y,Y,d
132103,Panipat,Haryana,Y,Y,d
132104,Panipat,Haryana,Y,Y,d
132105,Panipat,Haryana,Y,Y,d
132106,Panipat,Haryana,Y,Y,d
132107,Safidon,Haryana,Y,Y,d
132108,Panipat,Haryana,Y,Y,d
132109,Panipat,Haryana,N,N,d
132110,Panipat,Haryana,Y,Y,d
132111,Karnal,Haryana,N,Y,d
132112,Gharaunda,Haryana,N,Y,d
